month,cpi_sa,cpi_nsa
2016-01,237.652,236.916
2016-02,237.336,237.111
2016-03,238.080,238.132
2016-04,238.992,239.261
2016-05,239.557,240.229
2016-06,240.222,241.018
2016-07,240.101,240.628
2016-08,240.545,240.849
2016-09,241.176,241.428
2016-10,241.741,241.729
2016-11,242.026,241.353
2016-12,242.637,241.432
2017-01,243.618,242.839
2017-02,244.006,243.603
2017-03,243.892,243.801
2017-04,244.193,244.524
2017-05,244.004,244.733
2017-06,244.163,244.955
2017-07,244.243,244.786
2017-08,245.183,245.519
2017-09,246.435,246.819
2017-10,246.626,246.663
2017-11,247.284,246.669
2017-12,247.805,246.524
2018-01,248.859,247.867
2018-02,249.529,248.991
2018-03,249.577,249.554
2018-04,250.227,250.546
2018-05,250.792,251.588
2018-06,251.018,251.989
2018-07,251.214,252.006
2018-08,251.663,252.146
2018-09,252.182,252.439
2018-10,252.772,252.885
2018-11,252.594,252.038
2018-12,252.767,251.233
2019-01,252.561,251.712
2019-02,253.319,252.776
2019-03,254.277,254.202
2019-04,255.233,255.548
2019-05,255.296,256.092
2019-06,255.213,256.143
2019-07,255.802,256.571
2019-08,256.036,256.558
2019-09,256.430,256.759
2019-10,257.155,257.346
2019-11,257.879,257.208
2019-12,258.630,256.974
2020-01,259.127,257.971
2020-02,259.250,258.678
2020-03,258.076,258.115
2020-04,256.032,256.389
2020-05,255.802,256.394
2020-06,257.042,257.797
2020-07,258.352,259.101
2020-08,259.316,259.918
2020-09,259.997,260.280
2020-10,260.319,260.388
2020-11,260.911,260.229
2020-12,262.045,260.474
2021-01,262.687,261.582
2021-02,263.579,263.014
2021-03,264.961,264.877
2021-04,266.614,267.054
2021-05,268.383,269.195
2021-06,270.654,271.696
2021-07,271.903,273.003
2021-08,272.676,273.567
2021-09,273.910,274.310
2021-10,276.550,276.589
2021-11,278.919,277.948
2021-12,280.845,278.802
2022-01,282.543,281.148
2022-02,284.500,283.716
2022-03,287.674,287.504
2022-04,288.561,289.109
2022-05,291.298,292.296
2022-06,294.957,296.311
2022-07,294.913,296.276
2022-08,295.097,296.171
2022-09,296.349,296.808
2022-10,298.007,298.012
2022-11,298.786,297.711
2022-12,298.832,296.797
2023-01,300.420,299.170
2023-02,301.450,300.840
2023-03,301.821,301.836
2023-04,302.845,303.363
2023-05,303.334,304.127
2023-06,304.014,305.109
2023-07,304.609,305.691
2023-08,306.082,307.026
2023-09,307.276,307.789
2023-10,307.696,307.671
2023-11,308.148,307.051
2023-12,308.741,306.746
2024-01,309.698,308.417
2024-02,310.967,310.326
2024-03,312.345,312.332
2024-04,313.023,313.548
2024-05,313.175,314.069
2024-06,313.044,314.175
2024-07,313.569,314.540
2024-08,314.062,314.796
2024-09,314.732,315.301
2024-10,315.631,315.664
2024-11,316.528,315.493
2024-12,317.604,315.605
2025-01,318.961,317.671
2025-02,319.679,319.082
2025-03,319.785,319.799
2025-04,320.302,320.795
2025-05,320.620,321.465
2025-06,321.435,322.561
2025-07,322.169,323.048
2025-08,323.291,323.976
2025-09,324.245,324.800
2025-11,325.063,324.122
2025-12,326.031,324.054
2026-01,326.588,325.252
2026-02,327.460,326.785
2026-03,330.293,330.213
2026-04,332.407,333.020
2026-05,333.979,335.123
2026-06,332.568,333.952
