tier	rank	url	gig_id	seller	slug	category	rc_quartile	last_seen	last_quarter	last_price_basic	last_review_count	last_rating
1	1	https://www.fiverr.com/heykeram/review-your-song-and-provide-feedback	heykeram/review-your-song-and-provide-feedback	heykeram	review-your-song-and-provide-feedback	audio	Q1	20241001	2024Q4	10.0	4	5.0
1	2	https://www.fiverr.com/iq_nimrah/do-mixing-and-mastering-to-your-songs-and-podcasts-in-audacity	iq_nimrah/do-mixing-and-mastering-to-your-songs-and-podcasts-in-audacity	iq_nimrah	do-mixing-and-mastering-to-your-songs-and-podcasts-in-audacity	audio	Q2	20240101	2024Q1	5.0	32	5.0
1	3	https://www.fiverr.com/mrswarmvoice/produce-a-female-voice-over-in-a-charming-voice	mrswarmvoice/produce-a-female-voice-over-in-a-charming-voice	mrswarmvoice	produce-a-female-voice-over-in-a-charming-voice	audio	Q3	20241004	2024Q4	20.0	143	4.9
1	4	https://www.fiverr.com/sethdmeyers/provide-a-professional-and-engaging-voiceover	sethdmeyers/provide-a-professional-and-engaging-voiceover	sethdmeyers	provide-a-professional-and-engaging-voiceover	audio	Q4	20201228	2020Q4	20.0	1069	5.0
1	5	https://www.fiverr.com/saasta6/write-filthy-original-lyrics-for-your-metal-song	saasta6/write-filthy-original-lyrics-for-your-metal-song	saasta6	write-filthy-original-lyrics-for-your-metal-song	audio	Qna	20241001	2024Q4	25.0		
1	6	https://www.fiverr.com/studio_moxie/build-a-custom-ai-voice-assistant-ai-caller-for-you-using-vapi	studio_moxie/build-a-custom-ai-voice-assistant-ai-caller-for-you-using-vapi	studio_moxie	build-a-custom-ai-voice-assistant-ai-caller-for-you-using-vapi	coding	Q1	20251122	2025Q4	200.0	7	5.0
1	7	https://www.fiverr.com/rezaulfv07/create-responsive-clickable-html-email-signature-design	rezaulfv07/create-responsive-clickable-html-email-signature-design	rezaulfv07	create-responsive-clickable-html-email-signature-design	coding	Q2	20250811	2025Q3	10.0	56	4.9
1	8	https://www.fiverr.com/shkhamza3/fix-bugs-in-your-react-native-app	shkhamza3/fix-bugs-in-your-react-native-app	shkhamza3	fix-bugs-in-your-react-native-app	coding	Q3	20241007	2024Q4	15.0	105	4.9
1	9	https://www.fiverr.com/wix_pr0/design-wix-website-design-and-redesign-wix-website	wix_pr0/design-wix-website-design-and-redesign-wix-website	wix_pr0	design-wix-website-design-and-redesign-wix-website	coding	Q4	20241001	2024Q4	80.0	392	5.0
1	10	https://www.fiverr.com/xk1dreaperx/assess-your-cloud-environment-against-security-best-practice	xk1dreaperx/assess-your-cloud-environment-against-security-best-practice	xk1dreaperx	assess-your-cloud-environment-against-security-best-practice	coding	Qna	20240319	2024Q1	370.0		
