category,quarter,index_nominal,index_real,se_log
audio-music_prod,2020Q1,100.0,100.0,0.0
audio-music_prod,2020Q2,100.774,101.767,0.02236
audio-music_prod,2020Q3,109.896,109.724,0.02716
audio-music_prod,2020Q4,115.684,114.676,0.02568
audio-music_prod,2021Q1,122.691,120.4,0.02782
audio-music_prod,2021Q2,133.879,129.027,0.03081
audio-music_prod,2021Q3,141.342,134.083,0.02982
audio-music_prod,2021Q4,153.764,142.758,0.0298
audio-music_prod,2022Q1,160.254,145.58,0.03136
audio-music_prod,2022Q2,165.691,147.061,0.02827
audio-music_prod,2022Q3,169.408,148.402,0.02997
audio-music_prod,2022Q4,175.607,152.24,0.031
audio-music_prod,2023Q1,177.06,152.13,0.03151
audio-music_prod,2023Q2,187.41,159.873,0.03231
audio-music_prod,2023Q3,192.473,162.801,0.03387
audio-music_prod,2023Q4,199.795,167.785,0.03727
audio-music_prod,2024Q1,201.721,167.872,0.0352
audio-music_prod,2024Q2,209.691,173.348,0.03329
audio-music_prod,2024Q3,213.225,175.685,0.03431
audio-music_prod,2024Q4,224.339,183.402,0.03972
audio-other,2020Q1,100.0,100.0,0.0
audio-other,2020Q2,111.922,113.025,0.10893
audio-other,2020Q3,122.301,122.11,0.13194
audio-other,2020Q4,134.091,132.923,0.12886
audio-other,2021Q1,132.525,130.05,0.13036
audio-other,2021Q2,137.174,132.203,0.12946
audio-other,2021Q3,144.746,137.312,0.132
audio-other,2021Q4,148.371,137.751,0.12904
audio-other,2022Q1,149.719,136.01,0.12725
audio-other,2022Q2,158.43,140.616,0.12845
audio-other,2022Q3,152.802,133.855,0.13235
audio-other,2022Q4,163.075,141.376,0.14133
audio-other,2023Q1,166.199,142.799,0.14235
audio-other,2023Q2,168.597,143.824,0.14248
audio-other,2023Q3,182.943,154.741,0.15649
audio-other,2023Q4,181.487,152.41,0.14729
audio-other,2024Q1,184.677,153.689,0.14775
audio-other,2024Q2,184.238,152.306,0.16473
audio-other,2024Q3,184.839,152.297,0.14772
audio-other,2024Q4,197.792,161.7,0.14789
audio-podcast,2020Q1,100.0,100.0,0.0
audio-podcast,2020Q2,103.621,104.642,0.06126
audio-podcast,2020Q3,109.134,108.964,0.07043
audio-podcast,2020Q4,117.881,116.854,0.07785
audio-podcast,2021Q1,122.727,120.435,0.08483
audio-podcast,2021Q2,133.358,128.525,0.08059
audio-podcast,2021Q3,137.157,130.113,0.07965
audio-podcast,2021Q4,145.687,135.259,0.07843
audio-podcast,2022Q1,149.027,135.381,0.07779
audio-podcast,2022Q2,165.649,147.023,0.08319
audio-podcast,2022Q3,162.899,142.7,0.08871
audio-podcast,2022Q4,167.972,145.621,0.10288
audio-podcast,2023Q1,177.1,152.165,0.10306
audio-podcast,2023Q2,188.179,160.529,0.10368
audio-podcast,2023Q3,178.665,151.122,0.10598
audio-podcast,2023Q4,184.035,154.55,0.10225
audio-podcast,2024Q1,183.759,152.925,0.10372
audio-podcast,2024Q2,181.295,149.873,0.09963
audio-podcast,2024Q3,195.723,161.265,0.10436
audio-podcast,2024Q4,183.733,150.206,0.11247
audio-voiceover,2020Q1,100.0,100.0,0.0
audio-voiceover,2020Q2,101.248,102.246,0.03789
audio-voiceover,2020Q3,111.061,110.888,0.03832
audio-voiceover,2020Q4,113.458,112.47,0.04653
audio-voiceover,2021Q1,119.551,117.319,0.05147
audio-voiceover,2021Q2,131.507,126.741,0.05151
audio-voiceover,2021Q3,144.132,136.73,0.05168
audio-voiceover,2021Q4,151.766,140.903,0.05446
audio-voiceover,2022Q1,153.916,139.822,0.05552
audio-voiceover,2022Q2,165.415,146.816,0.06216
audio-voiceover,2022Q3,167.551,146.775,0.05415
audio-voiceover,2022Q4,166.255,144.133,0.05745
audio-voiceover,2023Q1,175.049,150.403,0.05487
audio-voiceover,2023Q2,184.018,156.979,0.05065
audio-voiceover,2023Q3,195.466,165.333,0.05461
audio-voiceover,2023Q4,205.679,172.726,0.05402
audio-voiceover,2024Q1,197.314,164.205,0.05443
audio-voiceover,2024Q2,203.471,168.205,0.0551
audio-voiceover,2024Q3,205.773,169.545,0.05559
audio-voiceover,2024Q4,203.272,166.18,0.06658
coding-automation_bot,2020Q1,100.0,100.0,0.0
coding-automation_bot,2020Q2,102.468,103.478,0.08798
coding-automation_bot,2020Q3,97.961,97.808,0.11953
coding-automation_bot,2020Q4,109.563,108.609,0.12624
coding-automation_bot,2021Q1,108.257,106.235,0.11899
