category,quarter,n,raw_rate,within_index,ageadj_index
audio,2018Q4,383,5.7624,31.43,41.15
audio,2019Q1,527,28.0693,32.02,34.95
audio,2019Q2,533,34.3593,32.00,34.05
audio,2019Q3,362,71.3727,52.53,55.45
audio,2019Q4,1035,11.0062,36.13,37.55
audio,2020Q1,1281,24.7319,86.07,86.71
audio,2020Q2,1153,32.6644,103.48,103.41
audio,2020Q3,1289,38.6967,112.54,113.46
audio,2020Q4,1346,34.8803,99.77,98.29
audio,2021Q1,1279,34.7993,102.12,100.33
audio,2021Q2,1398,34.3048,105.78,103.93
audio,2021Q3,1589,26.0574,82.77,78.93
audio,2021Q4,1505,19.8903,73.93,71.02
audio,2022Q1,1554,18.9801,74.17,68.89
audio,2022Q2,1534,18.5567,74.54,68.87
audio,2022Q3,1623,23.9144,74.76,69.27
audio,2022Q4,1401,25.0313,79.23,73.59
audio,2023Q1,1506,27.4451,77.87,71.43
audio,2023Q2,1440,26.3231,75.69,68.23
audio,2023Q3,1333,32.0467,86.69,77.04
audio,2023Q4,1371,24.0901,69.04,61.53
audio,2024Q1,1548,21.9302,67.42,59.31
audio,2024Q2,1454,17.7629,62.30,55.13
audio,2024Q3,1644,21.7055,70.13,58.93
audio,2024Q4,785,16.1097,52.37,43.93
coding,2018Q4,797,4.3601,43.06,54.13
coding,2019Q1,982,9.8778,37.61,40.78
coding,2019Q2,897,19.0190,42.52,43.85
coding,2019Q3,636,22.5843,53.18,56.10
coding,2019Q4,1469,8.0841,40.53,42.73
coding,2020Q1,1554,21.9144,98.76,96.05
coding,2020Q2,1365,23.4032,90.14,92.89
coding,2020Q3,1426,30.2524,112.28,113.73
coding,2020Q4,1423,28.0425,100.05,98.55
coding,2021Q1,1374,29.1030,98.33,96.42
coding,2021Q2,1477,27.3423,91.63,89.40
coding,2021Q3,1801,23.0390,79.46,76.51
coding,2021Q4,1646,21.7431,77.38,73.34
coding,2022Q1,1713,18.2860,69.65,65.04
