quarter,audio,coding,data_analysis,data_entry,design,marketing,translation,video,writing
2011Q3,,25.00,50.00,,,20.00,,25.00,14.29
2011Q4,25.00,25.00,50.00,,50.00,20.00,100.00,25.00,14.29
2012Q1,,25.00,,,50.00,20.00,,,14.29
2012Q2,25.00,25.00,50.00,,50.00,,,25.00,14.29
2012Q3,25.00,,,,50.00,,,,14.29
2012Q4,,25.00,50.00,,,20.00,,,14.29
2013Q1,,25.00,,,,,,25.00,14.29
2013Q2,,25.00,,,50.00,,,,14.29
2013Q3,25.00,25.00,,,50.00,20.00,100.00,25.00,14.29
2013Q4,25.00,25.00,,,50.00,,,25.00,14.29
2014Q1,25.00,25.00,,,50.00,,,,14.29
2014Q2,25.00,25.00,50.00,,50.00,20.00,100.00,25.00,14.29
2014Q3,25.00,25.00,,,50.00,20.00,,25.00,14.29
2014Q4,62.50,,,,,,,,
2015Q1,100.00,25.00,,,50.00,,,100.00,21.43
2015Q2,37.50,37.50,,,,,,,28.57
2016Q1,100.00,,,,,,,,
2016Q2,100.00,50.00,,,,,,,
2016Q3,25.00,25.00,,,,,,,128.57
2016Q4,50.00,50.00,75.00,100.00,75.00,40.00,,125.00,28.57
2017Q1,500.00,50.00,,,100.00,20.00,,50.00,28.57
2017Q3,,,,,,,,,
2018Q3,100.00,50.00,3000.00,100.00,100.00,40.00,100.00,100.00,285.71
2018Q4,100.00,100.00,50.00,200.00,50.00,40.00,,100.00,342.86
2019Q1,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00
2019Q2,50.00,100.00,100.00,300.00,425.00,40.00,,125.00,342.86
2019Q3,37.50,100.00,75.00,900.00,300.00,260.00,,125.00,14.29
2019Q4,25.00,75.00,100.00,500.00,200.00,80.00,100.00,175.00,28.57
2020Q1,25.00,75.00,100.00,500.00,100.00,260.00,100.00,225.00,57.14
2020Q2,50.00,100.00,100.00,500.00,250.00,200.00,100.00,300.00,28.57
2020Q3,25.00,400.00,150.00,600.00,350.00,120.00,100.00,212.50,71.43
2020Q4,25.00,75.00,150.00,600.00,100.00,60.00,100.00,75.00,42.86
2021Q1,50.00,100.00,100.00,400.00,200.00,80.00,100.00,125.00,42.86
2021Q2,75.00,100.00,100.00,400.00,100.00,80.00,100.00,125.00,28.57
2021Q3,75.00,75.00,125.00,500.00,150.00,80.00,100.00,125.00,42.86
2021Q4,75.00,125.00,150.00,900.00,250.00,80.00,900.00,150.00,71.43
2022Q1,150.00,150.00,150.00,750.00,300.00,100.00,550.00,200.00,92.86
2022Q2,150.00,500.00,150.00,1000.00,250.00,250.00,600.00,250.00,85.71
2022Q3,125.00,125.00,100.00,700.00,200.00,80.00,100.00,200.00,71.43
2022Q4,137.50,125.00,100.00,700.00,150.00,80.00,200.00,200.00,57.14
2023Q1,112.50,175.00,300.00,700.00,200.00,160.00,100.00,200.00,57.14
2023Q2,100.00,150.00,1150.00,900.00,150.00,170.00,200.00,175.00,71.43
2023Q3,75.00,125.00,150.00,700.00,250.00,190.00,100.00,175.00,57.14
2023Q4,100.00,100.00,300.00,700.00,200.00,320.00,150.00,175.00,64.29
2024Q1,100.00,175.00,300.00,550.00,250.00,190.00,400.00,175.00,85.71
2024Q2,137.50,275.00,500.00,700.00,150.00,400.00,100.00,200.00,85.71
2024Q3,125.00,250.00,300.00,1000.00,150.00,300.00,300.00,175.00,64.29
2024Q4,125.00,262.50,300.00,700.00,100.00,360.00,,175.00,57.14
2025Q1,,300.00,,,150.00,,,2350.00,292.86
2025Q2,,,,,50.00,,,700.00,
2025Q3,,,,,,,,1525.00,
2025Q4,,,,,250.00,780.00,,2350.00,
2026Q1,,,,,,,,3425.00,
