quarter,cpi_sa,cpi_nsa,imputed_month
2016Q1,237.6893,237.3863,0
2016Q2,239.5903,240.1693,0
2016Q3,240.6073,240.9683,0
2016Q4,242.1347,241.5047,0
2017Q1,243.8387,243.4143,0
2017Q2,244.1200,244.7373,0
2017Q3,245.2870,245.7080,0
2017Q4,247.2383,246.6187,0
2018Q1,249.3217,248.8040,0
2018Q2,250.6790,251.3743,0
2018Q3,251.6863,252.1970,0
2018Q4,252.7110,252.0520,0
2019Q1,253.3857,252.8967,0
2019Q2,255.2473,255.9277,0
2019Q3,256.0893,256.6293,0
2019Q4,257.8880,257.1760,0
2020Q1,258.8177,258.2547,0
2020Q2,256.2920,256.8600,0
2020Q3,259.2217,259.7663,0
2020Q4,261.0917,260.3637,0
2021Q1,263.7423,263.1577,0
2021Q2,268.5503,269.3150,0
2021Q3,272.8297,273.6267,0
2021Q4,278.7713,277.7797,0
2022Q1,284.9057,284.1227,0
2022Q2,291.6053,292.5720,0
2022Q3,295.4530,296.4183,0
2022Q4,298.5417,297.5067,0
2023Q1,301.2303,300.6153,0
2023Q2,303.3977,304.1997,0
2023Q3,305.9890,306.8353,0
2023Q4,308.1950,307.1560,0
2024Q1,311.0033,310.3583,0
2024Q2,313.0807,313.9307,0
2024Q3,314.1210,314.8790,0
2024Q4,316.5877,315.5873,0
2025Q1,319.4750,318.8507,0
2025Q2,320.7857,321.6070,0
2025Q3,323.2350,323.9413,0
2025Q4,325.2493,324.2123,1
2026Q1,328.1137,327.4167,0
2026Q2,332.9847,334.0317,0
