quarter,ipi,year
2011Q3,23.80,2011
2011Q4,32.12,2011
2012Q1,39.68,2012
2012Q2,32.58,2012
2012Q3,39.59,2012
2013Q1,23.91,2013
2013Q2,41.63,2013
2013Q3,32.04,2013
2013Q4,32.51,2013
2014Q1,37.78,2014
2014Q2,32.12,2014
2014Q3,31.97,2014
2015Q1,74.04,2015
2016Q4,85.85,2016
2017Q1,121.61,2017
2018Q3,115.26,2018
2018Q4,95.02,2018
2019Q1,100.00,2019
2019Q2,214.22,2019
2019Q3,169.45,2019
2019Q4,146.09,2019
2020Q1,144.08,2020
2020Q2,220.34,2020
2020Q3,233.83,2020
2020Q4,76.91,2020
2021Q1,131.72,2021
2021Q2,103.52,2021
2021Q3,118.48,2021
2021Q4,166.84,2021
2022Q1,213.94,2022
2022Q2,249.63,2022
2022Q3,175.42,2022
2022Q4,161.06,2022
2023Q1,180.72,2023
2023Q2,157.97,2023
2023Q3,178.68,2023
2023Q4,171.38,2023
2024Q1,186.99,2024
2024Q2,187.99,2024
2024Q3,170.45,2024
2024Q4,156.48,2024
2025Q1,1222.37,2025
2025Q2,414.23,2025
2025Q3,1525.00,2025
2025Q4,1389.66,2025
2026Q1,3425.00,2026
