niche,niche_label,n_listings,arrival_quarter,peak_ai_share
0,social / media / social media,72,,0.0000
2,youtube / seo / best,45,,0.0000
3,professional / design / design professional,159,,0.0256
4,create / beat / create professional,38,,0.0000
6,teach / music / lessons,62,,0.0000
7,website / create / wordpress website,68,,0.0652
8,email / write / email marketing,75,,0.0000
11,female / voice / female voice,125,,0.0179
12,translate / translate english / english,53,,0.0000
13,high / quality / high quality,113,,0.0000
14,amazon / product / listing,52,,0.0000
17,edit / audio / clean,85,,0.0000
18,using / develop / python,78,2023Q1,0.1895
19,data / entry / data entry,53,,0.0000
20,promotion / marketing / organic,57,,0.0000
21,ads / google / google ads,221,,0.0204
22,write / resume / letter,50,,0.0000
23,page / sales / landing,86,,0.0000
24,english / translate / translate english,159,,0.0000
25,website / shopify / store,53,,0.0000
26,create / video / music video,197,,0.0312
27,video / spokesperson / music video,187,2023Q3,0.0652
28,hop / hip hop / hip,238,,0.0000
29,animation / 2d / create,84,,0.0000
31,wordpress / wordpress website / fix,137,,0.0000
32,hours / 24 / transcription,33,,0.0000
33,logo / business / logo design,140,,0.0000
34,provide / provide professional / service,282,,0.0000
35,voice / record / professional,85,,0.0000
36,book / ebook / book cover,122,,0.0000
37,affiliate / marketing / clickbank,70,,0.0000
39,podcast / intro / outro,71,,0.0000
40,music / master / mix,47,,0.0000
41,help / programming / java,268,,0.0400
42,facebook / ads / facebook ads,202,,0.0000
43,song / sing / lyrics,361,,0.0297
44,french / german / translate,42,,0.0000
47,3d / create 3d / create,181,,0.0000
48,html / convert / responsive,104,,0.0000
50,promote / instagram / grow,58,,0.0000
51,channel / videos / youtube,44,,0.0000
52,music / music video / compose,239,,0.0000
53,videos / youtube videos / transcribe,146,2023Q3,0.0690
54,custom / logo / design,32,,0.0000
55,analytics / google analytics / google,80,,0.0000
56,draw / cartoon / style,334,,0.0000
57,add / subtitles / video,127,,0.0000
58,write / blog / post,78,,0.0000
59,instagram / shoutout / grow,157,,0.0000
60,logo / design / logo design,170,,0.0000
61,teach / lessons / online,267,2023Q3,0.1538
62,audiobook / acx / narrate,134,,0.0000
63,app / mobile / mobile app,150,,0.0000
64,make / animated / twitch,65,,0.0000
65,vice / versa / vice versa,311,,0.0000
66,business / card / business card,142,,0.1250
67,amazon / campaign / ppc,77,,0.0000
68,local / local seo / seo,110,,0.0000
69,web / scraping / web scraping,103,,0.0000
70,real / estate / real estate,36,,0.0000
72,make / video / make professional,153,,0.0571
73,release / press / press release,134,,0.0000
74,voice / german / record,106,,0.0000
75,editing / video editing / video,178,,0.0000
79,produce / song / compose,102,,0.0000
80,cover / resume / letter,157,,0.0000
81,ads / campaign / google,122,,0.0000
82,edit / book / proofread,61,,0.0000
83,spokesperson / professional / video,53,2024Q3,0.1379
84,explainer / explainer video / animated,134,,0.0000
85,art / create / draw,137,2023Q1,0.2500
86,email / marketing / email marketing,234,,0.0833
87,audio / audio video / clean,144,,0.0526
88,unique / design / create unique,109,,0.0000
89,post / blog / guest,107,,0.0000
90,marketing / digital / strategy,187,,0.0000
91,manager / content / social media,43,,0.0000
92,logo / convert / vector,83,,0.0263
93,fix / develop / php,65,2024Q3,0.1333
94,german / write / content,54,,0.0000
95,chinese / english / translate,85,,0.0000
96,female / singer / songwriter,48,,0.0000
97,promote / music / promote music,61,,0.0000
98,create / create professional / create custom,219,,0.0811
99,develop / design / fix,43,,0.0000
100,virtual / assistant / virtual assistant,68,,0.0000
101,english / translation / arabic,119,,0.0000
102,wordpress / website / wordpress website,121,,0.0000
104,3d / product / animation,108,,0.0000
105,page / landing / landing page,100,,0.0238
106,app / mobile / mobile app,177,,0.0145
108,best / influencer / instagram,44,,0.0000
109,organic / promotion / marketing,61,,0.0000
110,quality / record / high,31,,0.0000
111,audio / audio video / transcription,86,,0.0000
112,write / youtube / script,89,,0.0000
113,professional / create professional / record professional,105,,0.0000
114,tiktok / ugc / reels,191,,0.0000
115,shopify / store / add,36,,0.0000
116,editing / product / photo,45,,0.0625
117,professional / create / create professional,147,,0.0256
118,lyric / animated / video,123,,0.0000
119,music / transcribe / sheet,160,,0.0000
120,etsy / seo / shop,152,,0.0000
121,design / presentation / powerpoint,96,,0.0222
122,channel / youtube channel / youtube,235,,0.0000
123,german / english / translate,142,,0.0000
124,media / social / social media,129,,0.0000
125,sales / build / funnel,93,,0.0000
126,design / banner / awesome,74,,0.0000
127,spanish / english spanish / spanish english,94,,0.0000
128,italian / english italian / italian english,114,,0.0500
129,song / music / video,39,,0.0455
130,make / music / music video,61,,0.0000
131,python / help / programming,215,2024Q3,0.0662
132,create / video / trailer,64,,0.0000
133,promote / podcast / promote podcast,118,,0.0000
134,content / seo / blog,43,,0.0000
135,backlinks / seo / seo backlinks,130,,0.0000
136,spanish / english / translate,85,,0.0000
137,product / design / label,146,,0.0000
138,music / compose / produce,124,,0.0000
139,audio / hours / 24,54,,0.0000
140,song / write / record,34,,0.0000
141,seo / page / google,56,,0.0000
142,excel / data / entry,140,2024Q3,0.0571
143,promote / promote music / promote podcast,131,,0.0000
145,design / design professional / flyer,450,,0.0000
146,cover / art / design,106,,0.0339
147,marketing / marketing manager / media marketing,107,,0.0667
148,songwriter / singer / singer songwriter,120,,0.0000
149,fix / wordpress / fix wordpress,163,,0.0000
150,best / instagram / influencer,130,,0.0000
151,master / mix / song,143,,0.0000
152,intro / outro / intro outro,119,,0.0000
153,tiktok / instagram / youtube,91,,0.0000
154,music / video / music video,150,2023Q1,0.3396
155,game / app / mobile,80,,0.0000
156,podcast / edit / audio,78,,0.0000
157,videos / youtube / make,61,,0.0000
158,video / create / ad,75,,0.0000
160,google / ads / setup,77,,0.0000
161,song / write / lyrics,137,,0.0000
162,business / design / card,133,,0.0000
163,record / professional / voiceover,93,,0.0000
164,promo / app / promo video,45,,0.0000
165,song / record / audio,49,,0.0000
166,animation / logo / custom,66,,0.0000
167,affiliate / website / amazon,67,,0.0000
168,promotion / organic / spotify,66,,0.0000
169,content / write / seo,95,,0.0000
170,amazon / product / write,70,,0.0000
171,podcast / write / notes,124,,0.0000
173,seo / backlinks / build,36,,0.0000
175,wordpress / website / wordpress website,68,,0.0556
178,seo / website / backlinks,42,,0.0000
179,page / landing / landing page,245,,0.0000
180,voiceover / male / american,41,,0.0000
181,amazing / design / create amazing,72,,0.0000
182,produce / music / compose,159,2024Q3,0.0909
183,editing / photo / photoshop,61,,0.0000
184,shopify / store / shopify store,162,,0.0000
186,male / male voice / voice,154,,0.0192
187,chinese / english chinese / chinese english,134,,0.0000
188,make / draw / illustration,42,,0.0000
190,resume / linkedin / letter,57,,0.0222
191,email / html / design,107,,0.0000
192,youtube / youtube video / create,67,,0.0000
194,amazing / create amazing / create,99,2024Q3,0.0541
195,wordpress / website / wordpress website,108,,0.0000
196,blog / post / seo,40,,0.0000
197,build / website / using,111,2023Q1,0.2432
198,web / develop / python,58,2023Q2,0.1176
199,script / write / python,59,,0.0000
200,animated / create / create animated,170,,0.0000
201,product / amazon / listing,82,,0.0000
203,french / translate / english,97,,0.0000
205,explainer / explainer video / video,143,,0.0000
207,design / web / scraping,49,,0.0000
208,edit / video / proofread,43,,0.0000
209,email / send / email marketing,40,,0.0000
210,song / create / sing,94,,0.0000
211,podcast / notes / podcast notes,201,,0.0000
