quarter,audio,coding,design,marketing,translation,video,writing
2011Q3,,0.00000,,,,,0.00000
2011Q4,,0.15310,0.00000,,,,0.09517
2012Q1,,0.28269,0.26477,,,,0.13487
2012Q2,,0.22931,,,,,0.12323
2012Q3,,,,,,,0.15792
2012Q4,,0.38003,,,,,0.28953
2013Q1,,0.39592,,,,,0.22750
2013Q2,,0.40446,,,,,0.26729
2013Q3,,0.30742,0.31308,,,0.00000,0.27035
2013Q4,,0.34294,0.27479,,,0.39402,0.20546
2014Q1,,0.29231,0.31988,,,,0.19681
2014Q2,,0.37019,0.29684,,,,0.21745
2014Q3,0.00000,0.38879,0.31054,,,0.50223,0.23591
2015Q1,0.37902,0.34207,0.27173,,,0.43469,0.19869
2015Q2,0.37902,0.39930,,,,,0.29174
2016Q1,0.37235,,,,,,
2016Q3,0.41765,0.29861,,,,,
2016Q4,0.43052,0.29454,0.29577,,,0.54711,0.25306
2017Q1,,0.31901,0.30713,,,,
2018Q3,0.41005,0.30157,0.26821,0.00000,,0.49457,0.22765
2018Q4,0.41033,0.28059,0.26651,0.24506,,0.49457,0.22013
2019Q1,0.39448,0.27519,0.26686,0.22873,,0.48267,0.20548
2019Q2,0.39457,0.27698,0.25767,0.24693,,0.47714,0.21842
2019Q3,0.37048,0.27936,0.25641,0.25274,,0.47157,0.21009
2019Q4,0.35792,0.27051,0.25411,0.22606,0.00000,0.46793,0.20387
2020Q1,0.35642,0.26509,0.25378,0.21290,0.25673,0.46757,0.20256
2020Q2,0.36306,0.26551,0.25378,0.22135,0.24671,0.47041,0.20133
2020Q3,0.35603,0.26464,0.25390,0.22085,0.24561,0.47004,0.20172
2020Q4,0.35063,0.26461,0.25351,0.21391,0.24784,0.47051,0.20041
2021Q1,0.35605,0.26361,0.25443,0.23287,0.25146,0.47057,0.20245
2021Q2,0.34891,0.26464,0.25454,0.21376,0.26091,0.47110,0.20103
2021Q3,0.34822,0.26281,0.25378,0.20621,0.26303,0.46813,0.19989
2021Q4,0.34905,0.26289,0.25450,0.20977,0.46109,0.46847,0.20039
2022Q1,0.34804,0.26259,0.25415,0.20690,0.38940,0.46839,0.19896
2022Q2,0.34890,0.26657,0.25456,0.21285,0.33841,0.46821,0.20013
2022Q3,0.34422,0.26400,0.25385,0.20562,0.24378,0.46851,0.20055
2022Q4,0.34700,0.26575,0.25440,0.21248,0.25966,0.46921,0.19985
2023Q1,0.34731,0.26556,0.25443,0.21044,0.24087,0.46911,0.19966
2023Q2,0.34352,0.27147,0.25605,0.22263,0.26169,0.47017,0.20179
2023Q3,0.34603,0.26823,0.25592,0.22457,0.24982,0.47090,0.19985
2023Q4,0.34666,0.26763,0.25581,0.22017,0.28819,0.47044,0.20176
2024Q1,0.34449,0.26802,0.25559,0.21583,0.30020,0.46992,0.20087
2024Q2,0.34518,0.26962,0.25703,0.22765,0.30026,0.47156,0.20171
2024Q3,0.34479,0.26880,0.25572,0.22795,0.30547,0.46970,0.20150
2024Q4,0.35478,0.27387,0.25862,0.23434,,0.47215,0.20609
2025Q1,,0.34539,0.32614,,,0.50462,0.27371
2025Q2,,,0.31051,,,,
2025Q3,,,,,,0.52636,
2025Q4,,,0.29297,0.31211,,,
