quarter,audio,coding,design,marketing,translation,video,writing
2011Q3,,100.00,,,,,100.00
2011Q4,,98.18,100.00,,,,100.46
2012Q1,,99.92,98.77,,,,97.65
2012Q2,,103.63,,,,,99.61
2012Q3,,,,,,,97.70
2012Q4,,86.24,,,,,97.14
2013Q1,,82.91,,,,,97.50
2013Q2,,58.85,,,,,90.53
2013Q3,,72.69,85.99,,,100.00,99.31
2013Q4,,51.91,93.68,,,108.24,90.12
2014Q1,,103.09,51.03,,,,66.49
2014Q2,,62.69,75.76,,,,128.91
2014Q3,100.00,51.46,85.89,,,176.80,140.13
2015Q1,244.18,101.24,112.31,,,328.19,159.33
2015Q2,258.19,87.70,,,,,163.06
2016Q1,189.18,,,,,,
2016Q3,222.13,133.41,,,,,
2016Q4,405.60,132.98,116.21,,,890.41,242.97
2017Q1,,101.89,160.84,,,,
2018Q3,448.61,90.23,110.31,100.00,,662.81,166.79
2018Q4,437.46,112.43,106.34,92.18,,676.78,173.93
2019Q1,530.59,124.25,140.55,69.74,,1583.81,190.80
2019Q2,381.47,126.19,108.79,99.65,,823.34,150.02
2019Q3,165.63,92.37,97.45,119.58,,780.22,126.34
2019Q4,239.30,99.69,101.90,92.78,100.00,836.71,118.63
2020Q1,257.43,96.19,107.36,109.12,96.43,827.39,127.07
2020Q2,322.75,109.19,109.39,106.22,104.30,1009.01,128.55
2020Q3,315.04,124.40,104.26,128.03,109.70,927.57,132.86
2020Q4,304.67,116.98,110.48,127.36,113.85,903.40,146.41
2021Q1,327.82,131.09,111.70,110.56,142.48,1085.19,164.25
2021Q2,424.53,126.93,116.52,125.39,135.51,1136.18,173.33
2021Q3,409.04,129.21,118.18,126.30,154.47,1211.99,199.69
2021Q4,400.39,153.10,124.80,115.87,210.16,1247.26,190.01
2022Q1,498.36,163.54,132.07,139.81,210.65,1298.89,211.76
2022Q2,455.61,164.57,137.68,150.05,208.22,1375.36,219.98
2022Q3,470.65,173.26,131.25,155.60,175.16,1382.60,217.22
2022Q4,519.48,162.79,144.91,162.23,194.21,1315.21,210.04
2023Q1,559.33,166.96,156.45,185.76,188.16,1560.65,227.71
2023Q2,544.56,195.96,158.15,205.54,208.79,1501.98,242.39
2023Q3,597.18,204.66,163.49,227.79,213.44,1537.50,243.81
2023Q4,607.63,190.65,168.12,255.67,225.29,1661.45,256.85
2024Q1,566.93,216.57,175.84,242.46,225.68,1719.96,269.46
2024Q2,642.69,226.96,167.58,264.26,214.25,1897.79,247.64
2024Q3,634.08,228.95,174.59,252.07,231.19,1994.11,240.19
2024Q4,720.52,233.80,159.84,265.02,,2147.60,258.33
2025Q1,,353.36,126.85,,,1492.27,248.74
2025Q2,,,242.09,,,,
2025Q3,,,,,,1894.26,
2025Q4,,,162.87,279.71,,,
