quarter,audio,coding,data_analysis,data_entry,design,marketing,translation,video,writing
2011Q3,,,,,,,,,
2011Q4,,,,,,,,,
2012Q1,,,,,,,,,
2012Q2,,,,,,,,,
2012Q3,,,,,,,,,
2012Q4,,,,,,,,,
2013Q1,,,,,,,,,
2013Q2,,,,,,,,,
2013Q3,,,,,,,,,
2013Q4,,,,,,,,,
2014Q1,,,,,,,,,
2014Q2,,,,,,,,,
2014Q3,,,,,,,,,
2014Q4,,,,,,,,,
2015Q1,,,,,,,,,
2015Q2,,,,,,,,,
2016Q1,,,,,,,,,
2016Q2,,,,,,,,,
2016Q3,,,,,,,,,
2016Q4,,,,,,,,,
2017Q1,,,,,,,,,
2017Q3,,80.57,,,52.87,31.72,,,
2018Q3,79.37,80.57,,,66.48,108.48,,64.94,100.96
2018Q4,79.37,89.89,,,68.77,100.00,,66.31,96.38
2019Q1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2019Q2,79.37,74.99,100.00,,72.55,124.57,,93.66,85.14
2019Q3,90.86,71.29,,,71.69,130.89,,72.52,53.99
2019Q4,75.44,75.27,,,70.92,152.48,,74.23,54.28
2020Q1,85.23,74.16,,,74.61,176.82,,76.54,56.56
2020Q2,103.90,78.80,,,81.02,216.58,,95.45,59.76
2020Q3,115.19,81.50,,,85.59,267.84,,91.91,63.63
2020Q4,120.20,90.14,,,92.14,323.07,,105.45,69.34
2021Q1,140.85,102.64,,,99.12,303.76,,127.51,77.47
2021Q2,216.33,110.66,,,100.11,318.12,,134.40,88.09
2021Q3,258.35,123.72,,,107.28,332.67,,149.73,105.52
2021Q4,270.57,141.81,,,112.66,366.90,,166.16,107.13
2022Q1,286.61,152.05,,,120.07,402.45,,177.36,120.29
2022Q2,291.15,161.38,,,134.42,432.27,,205.68,133.06
2022Q3,397.26,174.74,,,142.29,526.14,,227.28,134.11
2022Q4,456.56,162.33,,,158.76,566.66,,216.60,139.23
2023Q1,485.19,168.65,,,178.20,613.77,,258.21,150.89
2023Q2,486.69,182.78,,,184.73,699.51,,262.32,154.51
2023Q3,554.32,195.77,,,206.11,835.25,,270.25,169.12
2023Q4,579.59,196.34,,,212.92,969.00,,300.21,183.82
2024Q1,539.62,204.30,,,223.35,1116.72,,317.00,200.56
2024Q2,601.80,253.56,,,229.80,1278.90,,339.94,202.20
2024Q3,599.08,281.97,,,237.04,1278.40,,384.26,190.39
2024Q4,623.01,313.26,,,246.44,1331.29,,408.61,197.27
2025Q1,,344.79,,,246.44,,,460.71,197.27
2025Q2,,,,,246.44,,,,
2025Q3,,,,,,,,,
2025Q4,,,,,,,,,
2026Q1,,,,,,,,,
