quarter,orders_all,missing_price,under_50,coverage_pct,n_50plus,gigs_50plus,$50-100,$100-200,$200-400,$400-800,$800+,median_bin
2022Q1,44119,14526,3906,67.1,25687,8654,35.66,32.86,19.41,8.46,3.61,$100-200
2022Q2,48225,18810,0,61.0,29415,9828,36.2,32.79,19.49,7.79,3.73,$100-200
2022Q3,52027,23691,0,54.5,28336,9716,39.54,32.01,18.09,6.99,3.37,$100-200
2022Q4,51319,22747,0,55.7,28572,9554,38.62,32.48,18.48,7.33,3.09,$100-200
2023Q1,48904,21829,0,55.4,27075,9385,39.35,32.41,18.4,6.98,2.86,$100-200
2023Q2,42516,17745,528,58.3,24243,9094,39.06,32.43,18.17,7.07,3.27,$100-200
2023Q3,51848,21112,1486,59.3,29250,9736,38.32,32.52,18.65,7.51,3.0,$100-200
2023Q4,48776,18799,1946,61.5,28031,9691,38.04,32.56,19.06,7.32,3.02,$100-200
2024Q1,38058,12609,3313,66.9,22136,8385,36.75,32.54,19.29,8.04,3.37,$100-200
2024Q2,55570,3159,22178,94.3,30233,11391,39.1,31.41,18.67,7.36,3.46,$100-200
2024Q3,80391,173,39825,99.8,40393,12352,40.71,30.96,17.88,7.18,3.28,$100-200
2024Q4,23374,40,12163,99.8,11171,5337,39.5,30.48,18.04,7.68,4.3,$100-200
2025Q1,10236,16,5737,99.8,4483,2368,40.26,29.87,17.78,8.19,3.9,$100-200
2025Q2,7360,12,4151,99.8,3197,1751,41.1,28.12,16.7,8.98,5.1,$100-200
2025Q3,7233,13,3746,99.8,3474,1725,39.41,30.63,17.59,7.77,4.61,$100-200
2025Q4,6602,0,3441,100.0,3161,1404,39.54,29.33,18.29,7.53,5.31,$100-200
2026Q1,898,0,478,100.0,420,253,40.48,29.29,16.9,8.1,5.24,$100-200
