ipi_category,n_records,median_price,price_index,12mo_pct_change
Translation & Localization,80,116.845,77.10505477101755,-22.894945228982454
Technical Writing,80,142.875,79.75605671541811,-20.24394328458189
AI Development & Automation,80,95.06,83.13437404346496,-16.865625956535048
Content Writing,80,81.03,84.8259617901073,-15.174038209892704
Data Analytics & Business Intelligence,80,72.11,85.28681253696037,-14.713187463039635
Graphic Design,80,49.8,87.53735278607839,-12.462647213921619
SEO,80,119.33,87.55273487655451,-12.447265123445494
Mobile App Development,80,82.18,99.33518675208511,-0.6648132479148972
"Cloud, DevOps & Cybersecurity",80,77.67,99.9163825818486,-0.08361741815140489
Audio Production & Voice Work,80,176.695,100.19847458107687,0.19847458107686844
Animation & Motion Graphics,80,56.269999999999996,102.31839258114373,2.3183925811437245
Video Editing,80,148.91500000000002,102.74605857798325,2.746058577983246
Software Engineering,80,78.38,103.78707627118642,3.787076271186418
Consulting & Legal Services,80,92.16499999999999,103.83033853433221,3.8303385343322116
Social Media Management,80,73.88,104.85381776894691,4.853817768946911
Web Development,80,169.85,106.48902821316615,6.489028213166148
Branding & Visual Identity,80,180.51,106.88971132494447,6.88971132494447
UI/UX Design,80,141.995,110.55786973955696,10.557869739556969
Finance & Accounting,80,112.68,111.28339341267099,11.283393412670994
Paid Advertising (PPC),80,74.775,112.10644677661172,12.106446776611723
