date,month,platform,ipi_category,price,price_type
2025-06-01,2025-06,Upwork,Content Writing,69.23,mock_price
2025-06-01,2025-06,Upwork,Content Writing,110.16,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,77.15,mock_price
2025-06-01,2025-06,Upwork,Content Writing,46.67,mock_price
2025-06-01,2025-06,Upwork,Content Writing,101.05,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,59.94,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,103.0,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,82.4,mock_price
2025-06-01,2025-06,Upwork,Content Writing,79.98,mock_price
2025-06-01,2025-06,Upwork,Content Writing,89.11,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,69.02,mock_price
2025-06-01,2025-06,Upwork,Content Writing,93.26,mock_price
2025-06-01,2025-06,Upwork,Content Writing,131.61,mock_price
2025-06-01,2025-06,Upwork,Content Writing,64.37,mock_price
2025-06-01,2025-06,Upwork,Content Writing,260.97,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,149.87,mock_price
2025-06-01,2025-06,Upwork,Content Writing,127.8,mock_price
2025-06-01,2025-06,Upwork,Content Writing,104.79,mock_price
2025-06-01,2025-06,Upwork,Content Writing,69.33,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,56.7,mock_price
2025-06-01,2025-06,Upwork,Content Writing,84.0,mock_price
2025-06-01,2025-06,Upwork,Content Writing,142.88,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,66.44,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,103.44,mock_price
2025-06-01,2025-06,Upwork,Content Writing,77.87,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,122.25,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,120.99,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,134.65,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,73.57,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,88.57,mock_price
2025-06-01,2025-06,Upwork,Content Writing,58.21,mock_price
2025-06-01,2025-06,Fiverr,Content Writing,145.02,mock_price
