month,ipi_category,n_records,median_price,average_price,p25,p75
2025-06,AI Development & Automation,80,114.345,120.100625,94.5275,141.495
2025-06,Animation & Motion Graphics,80,54.995000000000005,57.541,41.3825,68.185
2025-06,Audio Production & Voice Work,80,176.345,186.35674999999998,135.39249999999998,214.85999999999999
2025-06,Branding & Visual Identity,80,168.875,170.95237500000002,133.6925,200.6875
2025-06,"Cloud, DevOps & Cybersecurity",80,77.735,79.62212500000001,62.7475,92.925
2025-06,Consulting & Legal Services,80,88.765,92.777875,75.5525,107.8475
2025-06,Content Writing,80,95.525,101.784625,77.18,121.30499999999999
2025-06,Data Analytics & Business Intelligence,80,84.55000000000001,95.813625,71.01,114.1525
2025-06,Finance & Accounting,80,101.255,105.33324999999999,83.4325,119.675
2025-06,Graphic Design,80,56.89,61.756125,44.8775,73.8525
2025-06,Mobile App Development,80,82.73,84.72225,61.2525,100.2025
2025-06,Paid Advertising (PPC),80,66.69999999999999,71.448625,52.9225,84.2625
2025-06,SEO,80,136.29500000000002,144.39625,110.7675,175.60750000000002
2025-06,Social Media Management,80,70.46000000000001,75.65375,60.2475,85.965
2025-06,Software Engineering,80,75.52000000000001,81.399625,63.285,94.41499999999999
2025-06,Technical Writing,80,179.14,187.02437500000002,133.0875,211.45999999999998
2025-06,Translation & Localization,80,151.54000000000002,164.111125,122.92750000000001,195.505
2025-06,UI/UX Design,80,128.435,136.651875,102.07,161.66000000000003
2025-06,Video Editing,80,144.935,150.863,115.46000000000001,185.7825
2025-06,Web Development,80,159.5,173.565625,128.98,214.9625
2025-07,AI Development & Automation,80,116.86,122.26775,94.215,134.555
2025-07,Animation & Motion Graphics,80,51.515,55.705875000000006,41.0925,64.3875
2025-07,Audio Production & Voice Work,80,180.005,189.764,128.8275,236.14000000000001
2025-07,Branding & Visual Identity,80,165.885,170.955375,136.62,191.19
2025-07,"Cloud, DevOps & Cybersecurity",80,72.58000000000001,79.94,57.365,93.09
2025-07,Consulting & Legal Services,80,96.14500000000001,94.99625,71.52250000000001,114.86749999999999
2025-07,Content Writing,80,105.11000000000001,107.37525000000001,81.5125,129.36249999999998
2025-07,Data Analytics & Business Intelligence,80,85.47,94.16312500000001,73.00999999999999,115.03
2025-07,Finance & Accounting,80,95.05000000000001,103.50675000000001,72.3925,127.2975
2025-07,Graphic Design,80,53.025,56.7895,39.675000000000004,68.67
2025-07,Mobile App Development,80,73.42,76.282875,56.915,90.7025
2025-07,Paid Advertising (PPC),80,70.195,76.7085,57.3425,87.77
2025-07,SEO,80,139.03500000000003,135.18225,101.2175,158.355
2025-07,Social Media Management,80,65.475,73.57875,55.807500000000005,85.1075
2025-07,Software Engineering,80,70.325,75.208875,58.355000000000004,84.6125
2025-07,Technical Writing,80,161.67000000000002,169.77325000000002,133.8975,198.0475
2025-07,Translation & Localization,80,143.88,146.427,105.78,180.135
2025-07,UI/UX Design,80,120.85,131.53050000000002,94.66,162.9
2025-07,Video Editing,80,142.625,151.7165,108.3875,179.2925
2025-07,Web Development,80,168.24,177.502875,135.76999999999998,209.25
2025-08,AI Development & Automation,80,105.025,110.61475,76.7525,137.2575
2025-08,Animation & Motion Graphics,80,56.195,60.00337499999999,45.105000000000004,74.8325
2025-08,Audio Production & Voice Work,80,172.93,187.856625,139.2475,212.79000000000002
2025-08,Branding & Visual Identity,80,149.32,165.873875,127.94749999999999,198.8325
2025-08,"Cloud, DevOps & Cybersecurity",80,66.57,75.2285,53.587500000000006,91.84
2025-08,Consulting & Legal Services,80,87.325,91.95637500000001,69.62,107.025
2025-08,Content Writing,80,94.545,100.61075,76.4025,123.5175
2025-08,Data Analytics & Business Intelligence,80,84.575,95.959625,70.85499999999999,118.4025
2025-08,Finance & Accounting,80,106.07499999999999,110.09537499999999,84.0375,127.54249999999999
2025-08,Graphic Design,80,56.635000000000005,59.948375,43.3125,68.985
2025-08,Mobile App Development,80,75.09,80.52175,61.722500000000004,92.79249999999999
2025-08,Paid Advertising (PPC),80,76.47,80.542625,60.1775,97.43
2025-08,SEO,80,116.685,132.34437499999999,98.83500000000001,153.11
2025-08,Social Media Management,80,70.255,72.42175,53.019999999999996,83.4025
2025-08,Software Engineering,80,75.93,82.043125,58.1275,99.46
2025-08,Technical Writing,80,161.72500000000002,173.30337500000002,131.0875,214.6275
2025-08,Translation & Localization,80,137.885,151.601125,116.33500000000001,173.97
2025-08,UI/UX Design,80,122.72999999999999,126.35074999999999,96.3725,159.165
2025-08,Video Editing,80,138.46499999999997,144.616625,113.88250000000001,178.6175
2025-08,Web Development,80,148.22,158.46812500000001,111.315,190.9625
2025-09,AI Development & Automation,80,120.175,122.584375,89.11,143.0325
2025-09,Animation & Motion Graphics,80,54.25,57.815374999999996,41.9125,69.14750000000001
2025-09,Audio Production & Voice Work,80,183.355,193.29075,141.795,232.81
2025-09,Branding & Visual Identity,80,155.74,161.793125,121.84,192.1325
2025-09,"Cloud, DevOps & Cybersecurity",80,72.295,78.420125,56.552499999999995,95.4425
2025-09,Consulting & Legal Services,80,83.89500000000001,89.48675,66.055,102.48
2025-09,Content Writing,80,91.815,99.741625,68.2175,120.2225
2025-09,Data Analytics & Business Intelligence,80,89.13499999999999,97.35062500000001,74.895,110.9825
2025-09,Finance & Accounting,80,112.815,117.230125,89.655,140.6275
2025-09,Graphic Design,80,55.96,61.500125000000004,42.88,73.1675
2025-09,Mobile App Development,80,77.725,84.75862500000001,60.4325,97.6675
2025-09,Paid Advertising (PPC),80,71.16499999999999,77.7895,53.067499999999995,95.5825
2025-09,SEO,80,120.255,131.673875,88.8975,169.4875
2025-09,Social Media Management,80,70.36,78.767625,60.662499999999994,95.7775
2025-09,Software Engineering,80,79.24000000000001,80.280125,64.31,94.1625
2025-09,Technical Writing,80,158.575,175.249875,123.7175,195.2275
2025-09,Translation & Localization,80,140.45,149.514625,114.9425,167.1375
2025-09,UI/UX Design,80,128.615,134.494875,97.77,159.28750000000002
2025-09,Video Editing,80,148.755,163.07375,110.88000000000001,199.675
2025-09,Web Development,80,155.6,165.995875,127.47250000000001,186.56
2025-10,AI Development & Automation,80,114.095,120.593375,95.0875,139.53
2025-10,Animation & Motion Graphics,80,49.705,55.139874999999996,39.2975,63.7525
2025-10,Audio Production & Voice Work,80,179.265,185.2525,140.7875,216.73250000000002
2025-10,Branding & Visual Identity,80,155.88,159.246375,123.2025,189.9925
2025-10,"Cloud, DevOps & Cybersecurity",80,73.93,82.019375,60.477500000000006,100.4375
2025-10,Consulting & Legal Services,80,88.01499999999999,96.951625,76.115,123.2
2025-10,Content Writing,80,92.145,95.836,65.6075,112.83250000000001
2025-10,Data Analytics & Business Intelligence,80,80.845,81.97274999999999,66.2875,95.44749999999999
2025-10,Finance & Accounting,80,107.78,112.788125,84.97,136.0025
2025-10,Graphic Design,80,52.39,55.83775000000001,40.94,64.82499999999999
2025-10,Mobile App Development,80,78.995,82.01637500000001,57.9225,99.7025
2025-10,Paid Advertising (PPC),80,72.485,76.48525,60.6075,92.545
2025-10,SEO,80,122.81,133.305125,105.7175,150.535
2025-10,Social Media Management,80,69.27,76.038375,55.5175,89.4775
2025-10,Software Engineering,80,71.135,76.201375,57.595,86.465
2025-10,Technical Writing,80,172.485,185.987375,148.35000000000002,223.25
2025-10,Translation & Localization,80,132.22000000000003,140.2745,98.4725,173.9525
2025-10,UI/UX Design,80,132.335,141.6195,103.52250000000001,170.5875
2025-10,Video Editing,80,142.095,148.996875,113.74,177.8175
2025-10,Web Development,80,153.51,170.129,127.4525,197.4225
2025-11,AI Development & Automation,80,115.06,118.647875,90.49249999999999,137.665
2025-11,Animation & Motion Graphics,80,50.415,56.737874999999995,41.824999999999996,70.455
2025-11,Audio Production & Voice Work,80,172.10000000000002,183.63225,142.785,213.61
2025-11,Branding & Visual Identity,80,163.06,183.92325,136.6975,221.0325
2025-11,"Cloud, DevOps & Cybersecurity",80,74.28999999999999,80.55275,56.565,99.285
2025-11,Consulting & Legal Services,80,95.875,95.23575,68.0125,114.9225
2025-11,Content Writing,80,94.065,100.23825,77.025,119.0325
2025-11,Data Analytics & Business Intelligence,80,88.795,96.250125,73.58000000000001,111.32749999999999
2025-11,Finance & Accounting,80,109.38,114.36600000000001,88.8275,131.9875
2025-11,Graphic Design,80,53.644999999999996,57.064,43.0775,68.5575
2025-11,Mobile App Development,80,83.46000000000001,89.849125,66.235,111.555
2025-11,Paid Advertising (PPC),80,74.41,78.721,56.6125,96.5975
2025-11,SEO,80,115.655,126.152125,92.0925,153.16000000000003
2025-11,Social Media Management,80,70.00999999999999,73.290625,55.82,89.55250000000001
2025-11,Software Engineering,80,76.33000000000001,79.5915,57.712500000000006,96.7675
2025-11,Technical Writing,80,158.925,170.31062500000002,129.495,199.665
2025-11,Translation & Localization,80,140.805,150.06225,110.52,180.75
2025-11,UI/UX Design,80,138.54000000000002,139.919,101.855,176.2475
2025-11,Video Editing,80,148.985,153.47375,113.9725,190.5125
2025-11,Web Development,80,166.53,170.42775,138.8125,192.54250000000002
2025-12,AI Development & Automation,80,115.545,121.032125,93.6725,143.0875
2025-12,Animation & Motion Graphics,80,54.89,59.527625,43.894999999999996,72.455
2025-12,Audio Production & Voice Work,80,199.8,197.476875,166.825,230.715
2025-12,Branding & Visual Identity,80,163.85500000000002,179.93375,123.7125,219.4725
2025-12,"Cloud, DevOps & Cybersecurity",80,78.96000000000001,81.917125,62.465,98.99000000000001
2025-12,Consulting & Legal Services,80,96.57,97.895375,74.125,111.1625
2025-12,Content Writing,80,96.35499999999999,103.30525,76.13499999999999,122.1
2025-12,Data Analytics & Business Intelligence,80,76.16499999999999,84.303875,59.9,103.9425
2025-12,Finance & Accounting,80,104.15,105.405875,82.6075,123.27250000000001
2025-12,Graphic Design,80,56.925,58.471124999999994,41.6275,69.8275
2025-12,Mobile App Development,80,79.82499999999999,82.900375,59.902499999999996,100.45
2025-12,Paid Advertising (PPC),80,69.945,77.633875,54.825,91.1475
2025-12,SEO,80,125.22,131.645,103.17,152.045
2025-12,Social Media Management,80,72.33500000000001,75.874,56.462500000000006,91.345
2025-12,Software Engineering,80,78.35,79.04325,55.1875,93.30499999999999
2025-12,Technical Writing,80,161.37,161.755625,115.8725,199.17249999999999
2025-12,Translation & Localization,80,132.64,142.77362499999998,110.37,166.97250000000003
2025-12,UI/UX Design,80,132.245,140.42837500000002,102.8175,167.60500000000002
2025-12,Video Editing,80,147.505,154.23925,110.2875,198.0
2025-12,Web Development,80,162.29500000000002,169.73325,138.205,197.97000000000003
2026-01,AI Development & Automation,80,114.655,114.75375,91.695,132.76
2026-01,Animation & Motion Graphics,80,60.1,62.518875,45.905,73.82499999999999
2026-01,Audio Production & Voice Work,80,190.135,201.97175,153.3025,245.705
2026-01,Branding & Visual Identity,80,165.67000000000002,181.893125,132.7375,218.1275
2026-01,"Cloud, DevOps & Cybersecurity",80,73.5,78.262625,58.917500000000004,92.5025
2026-01,Consulting & Legal Services,80,90.215,93.651625,67.685,120.4325
2026-01,Content Writing,80,93.155,102.213375,71.36500000000001,118.57
2026-01,Data Analytics & Business Intelligence,80,85.48,91.00037499999999,69.52250000000001,110.175
2026-01,Finance & Accounting,80,111.12,118.2535,95.1775,130.35
2026-01,Graphic Design,80,53.879999999999995,56.14087500000001,43.155,66.3675
2026-01,Mobile App Development,80,85.695,90.178375,70.14999999999999,105.61
2026-01,Paid Advertising (PPC),80,68.505,74.47162499999999,56.8775,88.205
2026-01,SEO,80,115.98,124.32950000000001,92.795,150.035
2026-01,Social Media Management,80,70.565,72.923625,53.8925,87.92750000000001
2026-01,Software Engineering,80,82.61,87.705375,62.415000000000006,111.89750000000001
