quarter	snapshot_months	distinct_gigs	linked_gigs	matched_to_next
2010Q2	71	71	7	7
2010Q3	29	14	9	8
2010Q4	42	26	10	10
2011Q1	30	13	12	11
2011Q2	40	22	12	10
2011Q3	45	41	14	13
2011Q4	1068	1046	31	29
2012Q1	308	254	165	158
2012Q2	1037	895	181	41
2012Q3	132	97	58	34
2012Q4	1802	1346	168	144
2013Q1	2587	2529	454	379
2013Q2	3292	3059	431	106
2013Q3	474	457	132	46
2013Q4	12390	7879	4994	4968
2014Q1	8325	7856	5155	383
2014Q2	3516	3076	534	312
2014Q3	1838	1501	432	223
2014Q4	1030	773	509	456
2015Q1	21277	20588	1629	1341
2015Q2	4005	3184	1372	83
2015Q3	346	306	100	18
2015Q4	111	99	48	34
2016Q1	4174	3539	926	907
2016Q2	3367	2850	1395	906
2016Q3	13452	11134	2707	2277
2016Q4	11265	9473	3912	2326
2017Q1	5451	5173	2327	5
2017Q2	33	31	8	4
2017Q3	339	335	5	1
2017Q4	141	133	20	19
2018Q1	258	241	23	4
2018Q2	56	54	14	10
2018Q3	24425	13596	8086	8084
2018Q4	27998	14879	11299	8562
2019Q1	33680	18420	11780	7719
2019Q2	22975	19473	9970	5415
2019Q3	25896	20327	16061	15099
2019Q4	86512	50665	33898	28838
2020Q1	103438	63800	39762	22811
2020Q2	84818	51142	33224	22733
2020Q3	75807	44769	31683	21361
2020Q4	108937	77692	34390	24837
2021Q1	114909	83567	35805	24857
2021Q2	126972	90765	38968	29685
2021Q3	142353	97318	46772	31859
2021Q4	147889	101095	49177	35721
2022Q1	151192	105448	47885	30790
2022Q2	102823	70935	41881	27671
2022Q3	113370	75698	39529	25394
2022Q4	89280	55649	33072	23352
2023Q1	80909	49090	29200	17558
2023Q2	57883	34774	21872	14936
2023Q3	55717	30720	21524	16932
2023Q4	56660	32377	23034	17192
2024Q1	59842	39122	26014	16678
2024Q2	69654	45709	24850	19637
2024Q3	86008	56530	31162	21496
2024Q4	47520	41305	22562	2571
2025Q1	7897	7789	2719	648
2025Q2	4973	4589	823	362
2025Q3	4917	4769	741	443
2025Q4	4145	3867	791	512
2026Q1	2527	2377	512	0
