gig_id,x,category
a1xgraphics/write-a-100-word-horror-story-to-terrify-you,1.6328578800655622,writing
a2l010/send-instant-300-full-hd-copyright-free-nature-videos-in-just-few-minutes,0.5781442691460111,video
a3606363/be-able-source-thailand-suppliers-and-manufacturers-with-20-years-experience,2.8627778683561504,translation
a3du114h/teach-you-python-development,1.458045941112474,coding
a7admukhtar/design-a-professional-company-profile,2.5920115338857648,design
a_dalvadi/do-customization-or-bug-fixing-to-perfex-crm,1.0364382753883474,coding
a_kumar07/design-credit-card-master-card-visa-card-or-business-card,1.6567134467308957,design
a_samadshah/audit-optimize-and-will-make-your-ppc-profitable-as-amazon-ppc-expert,4.190616083489665,marketing
a_samadshah/create-amazon-storefront-design-or-amazon-brand-store,3.3371555701482474,design
a_umair55/do-cashback-and-products-cms-with-affiliate-networks,3.7636125885173493,marketing
a_victorson/edit-and-customize-your-ae-template-or-make-custom-animation,2.0445328339114504,video
aa__production/create-a-perfect-whiteboard-animation-video,1.9515737932254273,video
aa_edits/do-modern-day-video-editing-for-you,2.110054753996027,writing
aabrar007/add-stunning-effects-to-your-video,1.1631112019769891,video
aadi421/create-a-whiteboard-animation-video,0.2618988138537905,video
aadil_chan/do-linkedin-profile-creation-optimization-profile-writing,0.8433017886062395,writing
aadnaan/do-any-photoshop-editing-within-12-hrs,0.08160316148458514,writing
aafsarhossain/12-page-product-catalog-magazine-booklet-design,2.436423923392115,writing
aafshaseoexpert/do-seo-for-etsy-shop-to-rank-etsy-listing-on-top-pages,0.4632699148015771,marketing
aaftabi/do-a-unique-book-cover-design,2.6960132309625666,writing
aahna_va/grow-and-promote-instagram-page-organically,1.722810408577494,marketing
aakash8787/create-wordpress-website-with-beaver-builder,3.276660735960994,coding
aakifozz/remake-instrumental-of-any-song-in-my-professional-studio,1.4505101359487533,audio
aaliyaan/audit-your-wordpress-site-and-send-complete-report,1.9986216636660719,coding
aaliyaan/customize-wordpress-fix-wp-error-edit-themetemplate-or-css,1.2611424992869706,coding
aaliyaan/do-youtube-music-video-promotion,1.6697204526433322,video
aaliyaan/fix-your-wordpress-css-bug-any-wp-issue-and-fix-themes,4.441952190922175,coding
aaliyaan/increase-speed-of-your-wordpress-blog-or-wp-site,2.1841827650266965,writing
aaliyaan/organically-promote-your-youtube-channel,1.712291334268769,marketing
aaliyaan/promote-youtube-video-through-suggested-videos,1.357525101245855,video
aaliyaan/send-real-1000-youtube-views-traffic-to-youtube-video-for-top-rankings,1.5545418153711623,video
aaliyaan/seo-optimize-and-get-your-youtube-video-ranked-at-number-top-1-position-in-search-results,1.6943856993820747,video
aamarteam/submit-your-flyer-poster-in-6-hours,1.7938935864856869,design
aameeen/do-5000-google-map-citations-for-local-business-seo,1.1223986079665806,marketing
aamir108/wordpress-installation-and-theme-installation,1.829336446787145,coding
aamir122/professionally-manage-market-grow-instagram-f8b1825e-0cff-4156-bb4f-192162ee59b1,2.3684135493933516,marketing
aamir1996/amazon-brand-registry-with-pending-trademark,2.569865798554272,design
aamir_waseem/make-any-adobe-after-effects-or-pr-template-or-can-create-unique-video,2.293035944059911,video
aamirmian/design-interactive-prototype-for-mobile-app-and-website,2.2913946559595093,coding
aamish_sohail/fix-install-and-develop-php-laravel-websites,2.2069227340817466,coding
aaogtv/review-your-mobile-app-and-game-on-all-ages-of-geek,0.4401374531415323,coding
aaqibali6464/setup-shopify-etsy-print-on-demand-store-or-website-using-printful,2.8778812390266144,coding
aaqibmehrban/do-automation-and-build-bots-in-python-and-selenium,1.624591096008298,coding
aaqibmunir53/write-an-attractive-script-for-your-videos,1.129912783923875,writing
