quarter,chained_jevons,geks_jevons,hedonic_twfe,hedonic_quality_adj
2019Q1,100.00,100.00,100.00,100.00
2019Q2,80.31,83.37,84.99,84.71
2019Q3,72.95,70.71,74.77,73.83
2019Q4,73.39,71.58,77.60,77.17
2020Q1,77.31,72.36,80.20,78.87
2020Q2,85.74,78.53,85.79,83.03
2020Q3,90.32,79.17,87.15,82.84
2020Q4,99.00,85.47,89.84,85.01
2021Q1,109.28,89.06,96.63,88.72
2021Q2,118.02,92.01,100.53,91.32
2021Q3,129.93,95.88,104.91,94.32
2021Q4,139.74,96.03,108.31,97.61
2022Q1,149.18,105.67,116.11,103.26
2022Q2,165.54,108.77,121.98,106.12
2022Q3,180.90,112.17,122.67,104.55
2022Q4,193.94,114.51,125.42,105.88
2023Q1,214.52,121.61,136.20,113.56
2023Q2,223.29,129.20,141.67,116.94
2023Q3,245.86,132.18,148.08,121.69
2023Q4,261.92,133.93,152.12,123.32
2024Q1,275.74,136.64,158.98,128.14
2024Q2,293.19,139.47,160.36,129.85
2024Q3,304.48,143.55,162.31,130.03
2024Q4,325.79,146.56,168.67,135.19
