quarter,hedonic_twfe,chained_jevons
2011Q3,52.98,
2011Q4,52.96,
2012Q1,52.87,
2012Q2,53.11,
2012Q3,46.42,
2012Q4,48.32,
2013Q1,47.66,
2013Q2,41.18,
2013Q3,49.56,
2013Q4,40.43,
2014Q1,40.72,
2014Q2,39.65,
2014Q3,43.17,
2014Q4,88.71,
2015Q1,83.56,
2015Q2,79.07,
2016Q1,62.89,
2016Q2,89.16,
2016Q3,92.03,
2016Q4,96.23,
2017Q1,76.87,
2017Q3,52.03,53.70
2018Q3,80.91,74.11
2018Q4,83.33,75.55
2019Q1,100.00,100.00
2019Q2,84.34,80.31
2019Q3,70.84,72.95
2019Q4,74.36,73.39
2020Q1,77.08,77.31
2020Q2,81.24,85.74
2020Q3,82.30,90.32
2020Q4,83.43,99.00
2021Q1,90.65,109.28
2021Q2,94.56,118.02
2021Q3,98.58,129.93
2021Q4,102.30,139.74
2022Q1,111.51,149.18
2022Q2,114.87,165.54
2022Q3,115.56,180.90
2022Q4,118.08,193.94
2023Q1,127.90,214.52
2023Q2,133.30,223.29
2023Q3,139.27,245.86
2023Q4,144.33,261.92
2024Q1,150.92,275.74
2024Q2,152.07,293.19
2024Q3,152.71,304.48
2024Q4,159.39,325.79
2025Q1,157.01,274.66
2025Q2,215.37,246.44
2025Q3,138.36,
2025Q4,152.13,315.21
2026Q1,167.33,
