quarter,chained_jevons,geks_jevons,hedonic_twfe
2019Q1,100.00,100.00,100.00
2019Q2,80.31,83.04,84.99
2019Q3,72.95,70.25,74.77
2019Q4,73.39,71.90,77.60
2020Q1,77.31,73.01,80.20
2020Q2,85.74,79.38,85.79
2020Q3,90.32,79.30,87.15
2020Q4,99.00,86.20,89.84
2021Q1,109.28,89.11,96.63
2021Q2,118.02,91.46,100.53
2021Q3,129.93,96.36,104.91
2021Q4,139.74,98.47,108.31
2022Q1,149.18,107.06,116.11
2022Q2,165.54,112.10,121.98
2022Q3,180.90,113.65,122.67
2022Q4,193.94,113.87,125.42
2023Q1,214.52,120.90,136.20
2023Q2,223.29,126.50,141.67
2023Q3,245.86,130.28,148.08
2023Q4,261.92,131.55,152.12
2024Q1,275.74,135.57,158.98
2024Q2,293.19,139.36,160.36
2024Q3,304.48,142.07,162.31
2024Q4,325.79,143.56,168.67
