category	pair	matched_gigs
uncategorized	2018Q3->2018Q4	3164
uncategorized	2018Q4->2019Q1	3691
uncategorized	2019Q1->2019Q2	3346
uncategorized	2019Q2->2019Q3	1555
uncategorized	2019Q3->2019Q4	3788
uncategorized	2019Q4->2020Q1	7518
uncategorized	2020Q1->2020Q2	7879
uncategorized	2020Q2->2020Q3	8775
uncategorized	2020Q3->2020Q4	8171
uncategorized	2020Q4->2021Q1	8457
uncategorized	2021Q1->2021Q2	8499
uncategorized	2021Q2->2021Q3	10413
uncategorized	2021Q3->2021Q4	12754
uncategorized	2021Q4->2022Q1	14930
uncategorized	2022Q1->2022Q2	11676
uncategorized	2022Q2->2022Q3	9918
uncategorized	2022Q3->2022Q4	9258
uncategorized	2022Q4->2023Q1	9001
uncategorized	2023Q1->2023Q2	6953
uncategorized	2023Q2->2023Q3	5643
uncategorized	2023Q3->2023Q4	5935
uncategorized	2023Q4->2024Q1	5908
uncategorized	2024Q1->2024Q2	7146
uncategorized	2024Q2->2024Q3	7385
uncategorized	2024Q3->2024Q4	6632
uncategorized	2024Q4->2025Q1	643
uncategorized	2025Q1->2025Q2	168
uncategorized	2025Q2->2025Q3	96
uncategorized	2025Q3->2025Q4	109
uncategorized	2025Q4->2026Q1	106
writing	2018Q3->2018Q4	2008
writing	2018Q4->2019Q1	2039
writing	2019Q1->2019Q2	1798
writing	2019Q2->2019Q3	1109
writing	2019Q3->2019Q4	3348
writing	2019Q4->2020Q1	6694
writing	2020Q1->2020Q2	4489
writing	2020Q2->2020Q3	4740
writing	2020Q3->2020Q4	4486
writing	2020Q4->2021Q1	5063
writing	2021Q1->2021Q2	4988
writing	2021Q2->2021Q3	5653
writing	2021Q3->2021Q4	6502
writing	2021Q4->2022Q1	7244
writing	2022Q1->2022Q2	6430
writing	2022Q2->2022Q3	5626
writing	2022Q3->2022Q4	5149
writing	2022Q4->2023Q1	4848
writing	2023Q1->2023Q2	3648
writing	2023Q2->2023Q3	2962
writing	2023Q3->2023Q4	3297
writing	2023Q4->2024Q1	3459
writing	2024Q1->2024Q2	3880
writing	2024Q2->2024Q3	4302
writing	2024Q3->2024Q4	4760
writing	2024Q4->2025Q1	421
writing	2025Q1->2025Q2	97
writing	2025Q2->2025Q3	50
writing	2025Q3->2025Q4	39
writing	2025Q4->2026Q1	50
design	2018Q3->2018Q4	2706
design	2018Q4->2019Q1	2835
design	2019Q1->2019Q2	2714
design	2019Q2->2019Q3	2475
design	2019Q3->2019Q4	6693
design	2019Q4->2020Q1	11824
design	2020Q1->2020Q2	10962
design	2020Q2->2020Q3	9897
design	2020Q3->2020Q4	8721
design	2020Q4->2021Q1	10007
design	2021Q1->2021Q2	9811
design	2021Q2->2021Q3	12271
design	2021Q3->2021Q4	11568
design	2021Q4->2022Q1	12032
design	2022Q1->2022Q2	10495
design	2022Q2->2022Q3	9411
design	2022Q3->2022Q4	8730
design	2022Q4->2023Q1	7778
design	2023Q1->2023Q2	5646
design	2023Q2->2023Q3	4601
design	2023Q3->2023Q4	4889
design	2023Q4->2024Q1	4721
design	2024Q1->2024Q2	4263
design	2024Q2->2024Q3	5511
design	2024Q3->2024Q4	6420
design	2024Q4->2025Q1	1037
design	2025Q1->2025Q2	302
design	2025Q2->2025Q3	171
design	2025Q3->2025Q4	289
design	2025Q4->2026Q1	301
audio	2018Q3->2018Q4	550
audio	2018Q4->2019Q1	573
audio	2019Q1->2019Q2	546
audio	2019Q2->2019Q3	278
audio	2019Q3->2019Q4	753
audio	2019Q4->2020Q1	1688
audio	2020Q1->2020Q2	1148
audio	2020Q2->2020Q3	1345
audio	2020Q3->2020Q4	1342
audio	2020Q4->2021Q1	1435
audio	2021Q1->2021Q2	1363
audio	2021Q2->2021Q3	1515
audio	2021Q3->2021Q4	2004
audio	2021Q4->2022Q1	2347
audio	2022Q1->2022Q2	2138
audio	2022Q2->2022Q3	1866
audio	2022Q3->2022Q4	1559
audio	2022Q4->2023Q1	1461
audio	2023Q1->2023Q2	1217
audio	2023Q2->2023Q3	1089
audio	2023Q3->2023Q4	1110
audio	2023Q4->2024Q1	1104
audio	2024Q1->2024Q2	1333
audio	2024Q2->2024Q3	1501
audio	2024Q3->2024Q4	812
audio	2024Q4->2025Q1	48
audio	2025Q1->2025Q2	3
audio	2025Q2->2025Q3	5
audio	2025Q3->2025Q4	5
audio	2025Q4->2026Q1	6
coding	2018Q3->2018Q4	1081
coding	2018Q4->2019Q1	1156
coding	2019Q1->2019Q2	968
coding	2019Q2->2019Q3	493
coding	2019Q3->2019Q4	1441
coding	2019Q4->2020Q1	2424
coding	2020Q1->2020Q2	2199
coding	2020Q2->2020Q3	2597
coding	2020Q3->2020Q4	2531
coding	2020Q4->2021Q1	3314
coding	2021Q1->2021Q2	3644
coding	2021Q2->2021Q3	4423
coding	2021Q3->2021Q4	4895
coding	2021Q4->2022Q1	6142
coding	2022Q1->2022Q2	4547
coding	2022Q2->2022Q3	4373
coding	2022Q3->2022Q4	4430
coding	2022Q4->2023Q1	4066
coding	2023Q1->2023Q2	3000
coding	2023Q2->2023Q3	2644
coding	2023Q3->2023Q4	3674
coding	2023Q4->2024Q1	4044
coding	2024Q1->2024Q2	3885
coding	2024Q2->2024Q3	4463
coding	2024Q3->2024Q4	4670
coding	2024Q4->2025Q1	537
coding	2025Q1->2025Q2	145
coding	2025Q2->2025Q3	76
coding	2025Q3->2025Q4	55
coding	2025Q4->2026Q1	59
translation	2018Q3->2018Q4	373
translation	2018Q4->2019Q1	393
translation	2019Q1->2019Q2	344
translation	2019Q2->2019Q3	165
translation	2019Q3->2019Q4	458
translation	2019Q4->2020Q1	1211
translation	2020Q1->2020Q2	927
translation	2020Q2->2020Q3	903
translation	2020Q3->2020Q4	898
translation	2020Q4->2021Q1	828
translation	2021Q1->2021Q2	826
translation	2021Q2->2021Q3	938
translation	2021Q3->2021Q4	958
translation	2021Q4->2022Q1	1100
translation	2022Q1->2022Q2	954
translation	2022Q2->2022Q3	903
translation	2022Q3->2022Q4	854
translation	2022Q4->2023Q1	794
translation	2023Q1->2023Q2	626
translation	2023Q2->2023Q3	715
translation	2023Q3->2023Q4	720
translation	2023Q4->2024Q1	639
translation	2024Q1->2024Q2	587
translation	2024Q2->2024Q3	611
translation	2024Q3->2024Q4	543
translation	2024Q4->2025Q1	37
translation	2025Q1->2025Q2	9
translation	2025Q2->2025Q3	3
translation	2025Q3->2025Q4	5
translation	2025Q4->2026Q1	6
video	2018Q3->2018Q4	811
video	2018Q4->2019Q1	995
video	2019Q1->2019Q2	834
video	2019Q2->2019Q3	499
video	2019Q3->2019Q4	1413
video	2019Q4->2020Q1	3235
video	2020Q1->2020Q2	2016
video	2020Q2->2020Q3	2058
video	2020Q3->2020Q4	2197
video	2020Q4->2021Q1	2451
video	2021Q1->2021Q2	2398
video	2021Q2->2021Q3	2875
video	2021Q3->2021Q4	3644
video	2021Q4->2022Q1	4131
video	2022Q1->2022Q2	3881
video	2022Q2->2022Q3	3464
video	2022Q3->2022Q4	2888
video	2022Q4->2023Q1	2811
video	2023Q1->2023Q2	2312
video	2023Q2->2023Q3	1954
video	2023Q3->2023Q4	2131
video	2023Q4->2024Q1	2091
video	2024Q1->2024Q2	1697
video	2024Q2->2024Q3	1859
video	2024Q3->2024Q4	2489
video	2024Q4->2025Q1	217
video	2025Q1->2025Q2	50
video	2025Q2->2025Q3	28
video	2025Q3->2025Q4	11
video	2025Q4->2026Q1	31
data_entry	2018Q3->2018Q4	249
data_entry	2018Q4->2019Q1	218
data_entry	2019Q1->2019Q2	179
data_entry	2019Q2->2019Q3	45
data_entry	2019Q3->2019Q4	62
data_entry	2019Q4->2020Q1	199
data_entry	2020Q1->2020Q2	346
data_entry	2020Q2->2020Q3	398
data_entry	2020Q3->2020Q4	404
data_entry	2020Q4->2021Q1	606
data_entry	2021Q1->2021Q2	635
data_entry	2021Q2->2021Q3	777
data_entry	2021Q3->2021Q4	765
data_entry	2021Q4->2022Q1	727
data_entry	2022Q1->2022Q2	566
data_entry	2022Q2->2022Q3	566
data_entry	2022Q3->2022Q4	657
data_entry	2022Q4->2023Q1	522
data_entry	2023Q1->2023Q2	309
data_entry	2023Q2->2023Q3	273
data_entry	2023Q3->2023Q4	258
data_entry	2023Q4->2024Q1	298
data_entry	2024Q1->2024Q2	407
data_entry	2024Q2->2024Q3	476
data_entry	2024Q3->2024Q4	480
data_entry	2024Q4->2025Q1	108
data_entry	2025Q1->2025Q2	22
data_entry	2025Q2->2025Q3	7
data_entry	2025Q3->2025Q4	3
data_entry	2025Q4->2026Q1	8
marketing	2018Q3->2018Q4	555
marketing	2018Q4->2019Q1	571
marketing	2019Q1->2019Q2	515
marketing	2019Q2->2019Q3	396
marketing	2019Q3->2019Q4	993
marketing	2019Q4->2020Q1	1762
marketing	2020Q1->2020Q2	1070
marketing	2020Q2->2020Q3	1193
marketing	2020Q3->2020Q4	1186
marketing	2020Q4->2021Q1	1739
marketing	2021Q1->2021Q2	1827
marketing	2021Q2->2021Q3	2010
marketing	2021Q3->2021Q4	2288
marketing	2021Q4->2022Q1	2725
marketing	2022Q1->2022Q2	2345
marketing	2022Q2->2022Q3	2028
marketing	2022Q3->2022Q4	1784
marketing	2022Q4->2023Q1	1594
marketing	2023Q1->2023Q2	1109
marketing	2023Q2->2023Q3	971
marketing	2023Q3->2023Q4	1111
marketing	2023Q4->2024Q1	1134
marketing	2024Q1->2024Q2	1033
marketing	2024Q2->2024Q3	1390
marketing	2024Q3->2024Q4	1802
marketing	2024Q4->2025Q1	274
marketing	2025Q1->2025Q2	42
marketing	2025Q2->2025Q3	29
marketing	2025Q3->2025Q4	39
marketing	2025Q4->2026Q1	59
data_analysis	2018Q3->2018Q4	90
data_analysis	2018Q4->2019Q1	92
data_analysis	2019Q1->2019Q2	76
data_analysis	2019Q2->2019Q3	36
data_analysis	2019Q3->2019Q4	66
data_analysis	2019Q4->2020Q1	131
data_analysis	2020Q1->2020Q2	147
data_analysis	2020Q2->2020Q3	185
data_analysis	2020Q3->2020Q4	218
data_analysis	2020Q4->2021Q1	180
data_analysis	2021Q1->2021Q2	202
data_analysis	2021Q2->2021Q3	322
data_analysis	2021Q3->2021Q4	424
data_analysis	2021Q4->2022Q1	490
data_analysis	2022Q1->2022Q2	350
data_analysis	2022Q2->2022Q3	308
data_analysis	2022Q3->2022Q4	281
data_analysis	2022Q4->2023Q1	261
data_analysis	2023Q1->2023Q2	192
data_analysis	2023Q2->2023Q3	129
data_analysis	2023Q3->2023Q4	158
data_analysis	2023Q4->2024Q1	168
data_analysis	2024Q1->2024Q2	280
data_analysis	2024Q2->2024Q3	280
data_analysis	2024Q3->2024Q4	180
data_analysis	2024Q4->2025Q1	13
data_analysis	2025Q1->2025Q2	0
data_analysis	2025Q2->2025Q3	2
data_analysis	2025Q3->2025Q4	2
data_analysis	2025Q4->2026Q1	3
